"length"	"TGL49_0196_Ct_T_PE_319_CM"	"TGL49_0197_Ct_T_PE_313_CM"	"TGL49_0198_Ct_T_PE_312_CM"	"TGL49_0199_Ct_T_PE_312_CM"	"TGL49_0200_Ct_T_PE_310_CM"	"TGL49_0201_Cf_R_PE_423_CM"	"TGL49_0201_Ct_T_PE_318_CM"	"TGL49_0255_Ct_n_PE_220318_CM"	"TGL49_0256_Ct_n_PE_220318_CM"	"TGL49_0257_Ct_n_PE_220318_CM"	"TGL49_0258_Ct_n_PE_220318_CM"	"TGL49_0259_Ct_n_PE_220318_CM"	"TGL49_0260_Ct_n_PE_220318_CM"	"TGL49_0261_Ct_n_PE_220318_CM"	"TGL49_0263_Ct_n_PE_220318_CM"	"TGL49_0264_Pb_U_PE_414_CM"	"TGL49_0265_Pb_U_PE_421_CM"	"TGL49_0266_Pb_U_PE_379_CM"	"TGL49_0267_Cf_R_PE_389_CM"	"TGL49_0267_Pb_U_PE_412_CM"	"TGL49_0268_Pb_U_PE_378_CM"	"TGL49_0301_Cf_R_PE_431_CM"	"TGL49_0302_Cf_R_PE_394_CM"	"TGL49_0303_Cf_R_PE_403_CM"	"TGL49_0304_Cf_R_PE_387_CM"	"TGL49_0305_Cf_R_PE_417_CM"	"TGL49_0306_Cf_R_PE_375_CM"	"TGL49_0307_Cf_R_PE_388_CM"
"50"	0.0713961914202247	0.0696493756867021	0.0569314308605137	0.0486148101838716	0.0542195886200258	0.0139441785056508	0	0.0385617037284998	0.0330673929662209	0.0255690354067136	0.0182667541843966	0.0292609420294677	0.0343115336102751	0.0287718855747947	0.0296609655976993	0.00852558473095485	0.0110545155333086	9.4080875272015e-05	0.0157864472633034	0.0220032587569389	0.0117433155560202	0.0256875127224819	0.0219643306746627	0.000992199129852109	0.0196672723020367	0.0240195553594903	0	0.00420729973129048
"51"	0.0651577924378383	0.0628540915772911	0.0512805599813827	0.0448880811148518	0.0489725316567975	0.0140539051336196	0	0.0364952524055775	0.0315626491226105	0.0245267632378545	0.017609359833949	0.0280521658178241	0.0320617111668892	0.0273468817949372	0.0283705044098516	0.00993261559693446	0.0114282502020793	0.000229322133475537	0.018373619852961	0.0200746263402566	0.0115189209912555	0.0237743234586472	0.0237567101887993	0.00107100194882953	0.0195869012373409	0.0231164321531584	0.000148993078914394	0.00453858317469918
"52"	0.0608429883716562	0.0574489598025106	0.0463342258842586	0.0410274862165407	0.0458084900186214	0.0140272148727623	0	0.0354758030862692	0.0307529712313311	0.0243738804750184	0.0180285914668647	0.0276371169947111	0.0312659148382303	0.0256120945846759	0.0268855901663008	0.0106132634154676	0.0119286222379541	0.000223442078771036	0.0183005948201884	0.019854984894987	0.0139207739252186	0.023708585912852	0.0264529610864933	0.00234617483773694	0.022124105436562	0.0230409622473368	0.000172388686347232	0.00572568218024702
"53"	0.06186323760898	0.0554026006915002	0.0469853150483202	0.0402625386205906	0.0451940387415865	0.0143712226793671	0.00080695283002927	0.035102119805374	0.0297843154892527	0.0238545644234798	0.0168655091545344	0.0261544941368898	0.0313407928297671	0.0247646870073132	0.0261372405276859	0.0102689040448263	0.0117618315593291	0.000582125415745593	0.0174138622793783	0.0206071816253623	0.0132725229603427	0.0233572300646359	0.0263505393999713	0.0025754194020349	0.0240939844732243	0.0222158246103539	0.00126336280137329	0.00599899102105919
"54"	0.0634919167300204	0.0567698886785216	0.048605749646936	0.0409629437631324	0.0469379585486069	0.0161505734031847	0.000904176062562917	0.0379469344599304	0.0321930147868257	0.0261490192212824	0.0188099609305481	0.0297551496487414	0.0342610344997037	0.0282162740028446	0.0276928649733105	0.0141106632735431	0.0140258605858492	0.00101724946387866	0.022523006536575	0.022129627807642	0.0156522134681562	0.0251956145349794	0.0295256116821561	0.00299808906745926	0.0271244463832257	0.023237184002473	0.00226814257322573	0.00762227989376182
"55"	0.0657077705423331	0.0572363213697464	0.0512829894185621	0.0414840643128735	0.0474912196569745	0.0149584084182269	0.0215680019052642	0.036689843238486	0.0314110655904532	0.0257061445511619	0.018607685745795	0.0286597630640308	0.0334634968224044	0.027298915328294	0.0278873180290136	0.0129430697824625	0.0130807134069745	0.00101136940917416	0.0225073583152666	0.0226682006665907	0.019572192593367	0.026306352377727	0.0289571713219585	0.00567738491269167	0.035152097433432	0.0244170301968175	0.0023789638715918	0.00766921171491138
"56"	0.0675835412755379	0.0604807722954712	0.0542153200940182	0.0432745197796444	0.0493753669338578	0.0163789234127413	0.0234969108387318	0.0390059907629281	0.0319674880682502	0.0264208107996578	0.0194771427899353	0.0295048366987196	0.0343097922616347	0.0292995167078695	0.0283822894435305	0.0136829043678247	0.0126266721151622	0.0028371263949217	0.0240539241879147	0.0237724254667817	0.0205390284341434	0.0266849099690308	0.0316636643883048	0.00572036826849754	0.0356611141765055	0.0248597869776376	0.00702730166416896	0.00859680535645574
"57"	0.0687818027495823	0.0635445948750845	0.0582457563745334	0.0453637829010834	0.0516062584998562	0.0161654013258832	0.0246227558714714	0.0398084626933297	0.0338659793795375	0.0279156644807222	0.0205717125396879	0.0310067143988502	0.0355949075582437	0.0302168753824201	0.0296688222868186	0.0144361904911025	0.0130467375279954	0.00306938855574949	0.0255796257654849	0.0237934869752322	0.0217108667168036	0.026938792904516	0.0327211683016454	0.00641526585402573	0.0380202413108124	0.0252673244690742	0.00776611031994281	0.00874864360135139
"58"	0.0790427469020424	0.075141391982397	0.066228886945825	0.0532690382129811	0.0606165108361287	0.0186920793537042	0.0302830924695804	0.0450400286258614	0.0380326779342034	0.0318068948014801	0.0233415775696134	0.0361798486993001	0.0419769503252787	0.0353972537798825	0.0333634303451772	0.0161768194973908	0.0151532420247029	0.00342219183801955	0.0280781251010614	0.0259237081156551	0.0262320016513224	0.0298017763644961	0.0383108318435886	0.0106849458640752	0.045901333360691	0.029043335423682	0.0118751177938051	0.0116501344265392
"59"	0.0968200584825993	0.0993570225351467	0.0821076883499523	0.0668540294248089	0.0756973378222781	0.0212039294588268	0.0375223343640357	0.0550433750715746	0.0482497777175387	0.0390227185362936	0.0292744392385409	0.0442989738730831	0.0520036357966532	0.0457240343276016	0.0408154999748488	0.020922522074041	0.0180350143053894	0.0102577554320019	0.0346008253497847	0.031468902411982	0.033415398027062	0.0366792837418355	0.0510648923577521	0.013532593186214	0.0596668480688874	0.0351765231034513	0.0270748745385924	0.0160120330980871
